業務	BUC	価値受益アクター	価値提供アクター	アクティビティ	UC	情報	条件	外部システム	説明
訪問介護計画	訪問介護スケジュール調整フロー	管理者	管理者、サービススタッフ、介護会員	スケジュール再調整	訪問介護計画更新	訪問介護スケジュール、介護会員、サービススタッフ			要望に応じてスケジュールを調整し計画を更新する
訪問介護実施	訪問介護記録登録フロー	サービススタッフ	サービススタッフ	訪問介護実施開始	訪問介護実施開始	訪問介護スケジュール			訪問介護サービスの実施を開始する
訪問介護実施	訪問介護記録登録フロー	サービススタッフ	サービススタッフ	訪問介護記録作成	訪問介護記録登録	訪問介護実施記録、訪問介護スケジュール、介護会員、サービススタッフ			訪問介護の実施内容を記録として作成する
訪問介護実施	訪問介護記録登録フロー	サービススタッフ	サービススタッフ	訪問介護記録提出	訪問介護記録承認申請	訪問介護実施記録			作成した訪問介護記録を承認待ちにする
訪問介護実施	訪問介護記録登録フロー	管理者	管理者	訪問介護記録承認	訪問介護記録承認	訪問介護実施記録			訪問介護記録を確認し承認する
スタッフ教育	新人スタッフ教育フロー	教育担当スタッフ	教育担当スタッフ、新人サービススタッフ	教育対象認定	教育対象登録	サービススタッフ、スタッフ教育履歴			新人スタッフを教育対象として登録する
スタッフ教育	新人スタッフ教育フロー	教育担当スタッフ	教育担当スタッフ、新人サービススタッフ	教育実施	教育記録登録	スタッフ教育履歴、サービススタッフ			新人スタッフに対して必要な教育を実施し記録する
スタッフ教育	新人スタッフ教育フロー	教育担当スタッフ	教育担当スタッフ、新人サービススタッフ	試用期間開始	試用期間設定	サービススタッフ、スタッフ教育履歴			教育完了後の試用期間を設定する
スタッフ教育	新人スタッフ教育フロー	教育担当スタッフ	教育担当スタッフ、新人サービススタッフ	独り立ち認定	独り立ち承認	サービススタッフ、スタッフ教育履歴			試用期間終了後に独り立ちを認定する
スタッフ教育	新人スタッフ教育フロー	教育担当スタッフ	教育担当スタッフ、サービススタッフ	指導者認定	指導者承認	サービススタッフ、スタッフ教育履歴			経験を積んだスタッフを指導者として認定する
介護費用管理	介護費用計算フロー	管理者	管理者	訪問実績集計	訪問介護実績照会	訪問介護実施記録、訪問介護スケジュール			訪問介護の実施記録を集計する
介護費用管理	介護費用計算フロー	管理者	管理者	費用計算	介護費用計算	訪問介護実施記録、介護費用請求			訪問介護の実施記録に基づいて介護費用を計算する
介護費用管理	介護費用計算フロー	管理者	管理者	請求データ作成	請求データ作成	介護費用請求、訪問介護実施記録		介護報酬請求システム	計算した費用を請求データとして作成する
介護費用管理	介護費用請求フロー	管理者	管理者	請求書発行	請求書発行	介護費用請求、介護会員		介護保険システム	計算された介護費用を介護会員に請求書として発行する
介護費用管理	介護費用請求フロー	管理者	管理者	請求状態更新	請求状態更新	介護費用請求			請求書発行後に請求済みの状態に更新する
介護費用管理	介護費用回収フロー	管理者	管理者	入金確認	入金確認	介護費用請求			請求した介護費用の入金を確認する
介護費用管理	介護費用回収フロー	管理者	管理者	入金記録	入金記録登録	介護費用請求			入金を記録し回収管理する
介護費用管理	介護費用回収フロー	管理者	管理者	未回収管理	未回収管理	介護費用請求			未回収の請求を管理し対応する
スタッフ管理	サービススタッフ登録フロー	管理者	管理者	スタッフ基本情報入力	サービススタッフ登録	サービススタッフ			サービススタッフの基本情報、スキル、働き方の希望を登録する
スタッフ管理	サービススタッフ登録フロー	管理者	管理者	働き方分類設定	働き方分類設定	サービススタッフ			サービススタッフの働き方を細かく分類し設定する
スタッフ管理	サービススタッフ登録フロー	管理者	管理者	スキル分類設定	スキル分類設定	サービススタッフ			サービススタッフのスキルを分類し設定する
スタッフ管理	サービススタッフ情報更新フロー	管理者	管理者、サービススタッフ	スタッフ情報変更	サービススタッフ情報更新	サービススタッフ			サービススタッフのスキルや働き方の希望などの情報を更新する
スタッフ管理	サービススタッフ情報更新フロー	管理者	管理者、サービススタッフ	スタッフスキル更新	スタッフスキル更新	サービススタッフ			サービススタッフのスキル情報を更新する
事業所管理	事業所一元管理フロー	統括管理者	統括管理者	事業所情報登録	事業所登録	介護施設、統括事業所			小規模訪問介護事業所の情報を登録する
事業所管理	事業所一元管理フロー	統括管理者	統括管理者	事業所統合管理	事業所統合管理	介護施設、統括事業所		地方自治体システム	複数の小規模訪問介護事業所を一元的に管理する
事業所管理	事業所一元管理フロー	統括管理者	統括管理者	事業所情報照会	事業所情報照会	介護施設、統括事業所			複数の事業所の情報を一元的に照会する
