コンテキスト	状態モデル	状態	遷移UC	遷移先状態	説明
介護費用管理	請求状態	請求書発行済み	請求状態を更新する	入金済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
介護費用管理	請求状態	請求書発行済み	請求状態を更新する	督促中	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
介護費用管理	請求状態	督促中	請求状態を更新する	入金済み	介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
介護費用管理	請求状態	入金済み			介護サービスの費用請求の進捗を管理する。サービス実施後の費用計算から請求書発行、入金確認、必要に応じた督促まで、確実な費用回収を実現するために必要
サービススタッフ管理	サービススタッフ状態		サービススタッフ情報を登録する	登録中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	登録中	サービススタッフ状態を更新する	稼働可能	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	稼働可能	サービススタッフ状態を更新する	稼働中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	稼働中	サービススタッフ状態を更新する	稼働可能	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	稼働可能	サービススタッフ状態を更新する	休職中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	稼働中	サービススタッフ状態を更新する	休職中	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	休職中	サービススタッフ状態を更新する	稼働可能	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	稼働可能	サービススタッフ状態を更新する	退職済み	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	休職中	サービススタッフ状態を更新する	退職済み	サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
サービススタッフ管理	サービススタッフ状態	退職済み			サービススタッフの勤務状態を管理する。登録から実際の稼働、休職、退職までを把握し、適切な人員配置とスケジュール調整を実現するために必要
介護施設管理	介護施設状態		介護施設状態を更新する	検討中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設管理	介護施設状態	検討中	介護施設状態を更新する	契約中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設管理	介護施設状態	契約中	介護施設状態を更新する	休止中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設管理	介護施設状態	休止中	介護施設状態を更新する	契約中	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設管理	介護施設状態	契約中	介護施設状態を更新する	契約終了	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設管理	介護施設状態	休止中	介護施設状態を更新する	契約終了	訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
介護施設管理	介護施設状態	契約終了			訪問介護事業で管理する小規模事業所（介護施設）の契約状態を管理する。複数事業所の一元管理において各施設の稼働状況を把握し、適切な事業運営を実現するために必要
訪問介護実施管理	訪問介護記録状態		訪問介護実施記録を登録する	記録中	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護実施管理	訪問介護記録状態	記録中	訪問介護記録状態を更新する	承認待ち	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護実施管理	訪問介護記録状態	承認待ち	訪問介護記録状態を更新する	記録中	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護実施管理	訪問介護記録状態	承認待ち	訪問介護記録状態を更新する	承認済み	訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護実施管理	訪問介護記録状態	承認済み			訪問介護の実施内容を確実に記録し管理する。サービス提供の証跡として法令遵守と品質管理、トラブル防止を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態		訪問介護計画を作成する	作成中	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態	作成中	勤務スケジュール状態を更新する	確定待ち	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態	確定待ち	勤務スケジュール状態を更新する	作成中	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態	確定待ち	勤務スケジュール状態を更新する	確定	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態	確定	勤務スケジュール状態を更新する	実施中	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態	実施中	勤務スケジュール状態を更新する	完了	サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
訪問介護スケジュール管理	勤務スケジュール状態	完了			サービススタッフの柔軟な働き方と介護会員の要望を調整した勤務スケジュールを管理する。スタッフの希望とサービス提供の両立を実現するために必要
事業所管理	事業所状態		事業所状態を更新する	申請中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所管理	事業所状態	申請中	事業所状態を更新する	稼働中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所管理	事業所状態	稼働中	事業所状態を更新する	休止中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所管理	事業所状態	休止中	事業所状態を更新する	稼働中	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所管理	事業所状態	稼働中	事業所状態を更新する	廃止	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所管理	事業所状態	休止中	事業所状態を更新する	廃止	複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
事業所管理	事業所状態	廃止			複数の小規模事業所を一元管理する事業所の契約状態を管理する。事業所の開設から稼働、休止、廃止までを把握し、適切な事業運営を実現するために必要
