業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	画面要求
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方情報の管理		スタッフ働き方を実行する	情報	スタッフ情報			承認された働き方を実運用に移す	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方情報の管理		スタッフ働き方を実行する	条件	スタッフ働き方柔軟設定			承認された働き方を実運用に移す	
スタッフ管理業務	スタッフ働き方設定フロー		スタッフ働き方情報の管理		スタッフ働き方を実行する	画面	働き方実行管理画面	アクター	スタッフ管理担当者	承認された働き方を実運用に移す	承認された働き方の実運用を管理し、実施状況を記録・確認でき、問題対応ができる
スケジュール管理業務	スケジュール計画フロー		スケジュール要望の確認	↓	スケジュール要望を確認する	情報	スケジュール情報				
スケジュール管理業務	スケジュール計画フロー		スケジュール要望の確認	↓	スケジュール要望を確認する	情報	介護会員情報				
スケジュール管理業務	スケジュール計画フロー		スケジュール要望の確認	↓	スケジュール要望を確認する	情報	スタッフ情報				
スケジュール管理業務	スケジュール計画フロー		スケジュール要望の確認	↓	スケジュール要望を確認する	条件	会員要望スケジュール対応				
スケジュール管理業務	スケジュール計画フロー		スケジュール要望の確認	↓	スケジュール要望を確認する	画面	スケジュール要望確認画面	アクター	スケジュール計画担当者		介護会員のスケジュール要望を検索・表示して詳細を確認できる
スケジュール管理業務	スケジュール計画フロー		スケジュール計画の作成	↓	スケジュールを計画する	情報	スケジュール情報			介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する	
スケジュール管理業務	スケジュール計画フロー		スケジュール計画の作成	↓	スケジュールを計画する	情報	スタッフ情報			介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する	
スケジュール管理業務	スケジュール計画フロー		スケジュール計画の作成	↓	スケジュールを計画する	条件	会員要望スケジュール対応			介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する	
スケジュール管理業務	スケジュール計画フロー		スケジュール計画の作成	↓	スケジュールを計画する	条件	スタッフ働き方柔軟設定			介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する	
スケジュール管理業務	スケジュール計画フロー		スケジュール計画の作成	↓	スケジュールを計画する	条件	スタッフスキル別業務配分			介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する	
スケジュール管理業務	スケジュール計画フロー		スケジュール計画の作成	↓	スケジュールを計画する	画面	スケジュール計画画面	アクター	スケジュール計画担当者	介護会員の要望とスタッフのスキル・働き方を考慮してスケジュール計画を作成する	介護会員の要望とスタッフのスキル・働き方を考慮した計画案を作成・編集でき、複数案を比較検討できる
スケジュール管理業務	スケジュール計画フロー		スケジュール確定		スケジュールを確定する	情報	スケジュール情報			計画されたスケジュールを確定する	
スケジュール管理業務	スケジュール計画フロー		スケジュール確定		スケジュールを確定する	条件	会員要望スケジュール対応			計画されたスケジュールを確定する	
スケジュール管理業務	スケジュール計画フロー		スケジュール確定		スケジュールを確定する	画面	スケジュール確定画面	アクター	スケジュール計画担当者	計画されたスケジュールを確定する	計画されたスケジュールを確認して確定判定を実行し、確定内容をスタッフに通知できる
スケジュール管理業務	スケジュール調整フロー		スケジュール変更要望の受付	↓	スケジュール変更要望を受け付ける	情報	スケジュール情報				
スケジュール管理業務	スケジュール調整フロー		スケジュール変更要望の受付	↓	スケジュール変更要望を受け付ける	条件	会員要望スケジュール対応				
スケジュール管理業務	スケジュール調整フロー		スケジュール変更要望の受付	↓	スケジュール変更要望を受け付ける	条件	スケジュール調整可能性判定				
スケジュール管理業務	スケジュール調整フロー		スケジュール変更要望の受付	↓	スケジュール変更要望を受け付ける	画面	スケジュール変更要望受付画面	アクター	スケジュール計画担当者		介護会員からのスケジュール変更要望を受け付け、変更内容を詳細に記録できる
スケジュール管理業務	スケジュール調整フロー		スケジュール調整の実施	↓	スケジュールを調整する	情報	スケジュール情報				
スケジュール管理業務	スケジュール調整フロー		スケジュール調整の実施	↓	スケジュールを調整する	条件	会員要望スケジュール対応				
スケジュール管理業務	スケジュール調整フロー		スケジュール調整の実施	↓	スケジュールを調整する	条件	スケジュール調整可能性判定				
スケジュール管理業務	スケジュール調整フロー		スケジュール調整の実施	↓	スケジュールを調整する	画面	スケジュール調整画面	アクター	スケジュール計画担当者		確定したスケジュールを確認し、変更要望に基づいて調整でき、調整内容を確認できる
スケジュール管理業務	スケジュール調整フロー		スケジュール調整困難時の対応		スケジュール調整困難時の対応を行う	画面	スケジュール調整対応協議画面	アクター	スケジュール計画担当者		調整困難な状況を記録し、介護会員への説明内容を作成して対応方法を協議できる
訪問介護実施業務	訪問介護実施フロー		スタッフ確定	↓	スタッフを確定する	情報	スケジュール情報			計画されたスケジュールに基づいて提供するスタッフを確定する	
訪問介護実施業務	訪問介護実施フロー		スタッフ確定	↓	スタッフを確定する	情報	スタッフ情報			計画されたスケジュールに基づいて提供するスタッフを確定する	
訪問介護実施業務	訪問介護実施フロー		スタッフ確定	↓	スタッフを確定する	条件	スタッフスキル別業務配分			計画されたスケジュールに基づいて提供するスタッフを確定する	
訪問介護実施業務	訪問介護実施フロー		スタッフ確定	↓	スタッフを確定する	画面	スタッフ確定画面	アクター	スケジュール計画担当者	計画されたスケジュールに基づいて提供するスタッフを確定する	計画されたスケジュールを確認し、適切なスタッフを選択・確定でき、確定内容を確認できる
訪問介護実施業務	訪問介護実施フロー		スタッフ移動	↓	スタッフが移動する	情報	スケジュール情報			スタッフが訪問先に向けて移動する	
訪問介護実施業務	訪問介護実施フロー		スタッフ移動	↓	スタッフが移動する	画面	移動状況報告画面	アクター	サービススタッフ	スタッフが訪問先に向けて移動する	訪問予定時間に向けて移動中であることを報告・更新でき、現在地情報を管理できる
訪問介護実施業務	訪問介護実施フロー		訪問介護サービスの実施	↓	訪問介護サービスを実施する	情報	スケジュール情報			計画されたスケジュール通りに訪問介護サービスを提供する	
訪問介護実施業務	訪問介護実施フロー		訪問介護サービスの実施	↓	訪問介護サービスを実施する	情報	実施記録情報			計画されたスケジュール通りに訪問介護サービスを提供する	
訪問介護実施業務	訪問介護実施フロー		訪問介護サービスの実施	↓	訪問介護サービスを実施する	条件	訪問実施スケジュール確認			計画されたスケジュール通りに訪問介護サービスを提供する	
訪問介護実施業務	訪問介護実施フロー		訪問介護サービスの実施	↓	訪問介護サービスを実施する	画面	訪問介護実施画面	アクター	サービススタッフ	計画されたスケジュール通りに訪問介護サービスを提供する	計画されたスケジュールを確認し、サービス実施内容をリアルタイムで記録・更新できる
訪問介護実施業務	訪問介護実施フロー		訪問介護サービスの実施	↓	訪問介護サービスを実施する	イベント	医療機器の動作状況確認	外部システム	訪問介護用医療機器	計画されたスケジュール通りに訪問介護サービスを提供する	
訪問介護実施業務	訪問介護実施フロー		訪問介護サービスの実施	↓	訪問介護サービスを実施する	イベント	介護用具の利用状況確認	外部システム	訪問介護用具	計画されたスケジュール通りに訪問介護サービスを提供する	
訪問介護実施業務	実施記録作成フロー		実施記録の作成	↓	実施記録を作成する	情報	実施記録情報			訪問介護の実施内容、時間、対応内容を記録する	
訪問介護実施業務	実施記録作成フロー		実施記録の作成	↓	実施記録を作成する	情報	スタッフ情報			訪問介護の実施内容、時間、対応内容を記録する	
訪問介護実施業務	実施記録作成フロー		実施記録の作成	↓	実施記録を作成する	条件	実施記録必須項目			訪問介護の実施内容、時間、対応内容を記録する	
訪問介護実施業務	実施記録作成フロー		実施記録の作成	↓	実施記録を作成する	画面	実施記録作成画面	アクター	サービススタッフ	訪問介護の実施内容、時間、対応内容を記録する	訪問介護の実施内容・時間・対応内容を詳細に記録でき、複数項目を入力・修正できる
訪問介護実施業務	実施記録作成フロー		実施記録の登録		実施記録をシステムに登録する	情報	実施記録情報			サービススタッフが作成した実施記録をシステムに登録する	
訪問介護実施業務	実施記録作成フロー		実施記録の登録		実施記録をシステムに登録する	条件	実施記録必須項目			サービススタッフが作成した実施記録をシステムに登録する	
訪問介護実施業務	実施記録作成フロー		実施記録の登録		実施記録をシステムに登録する	画面	実施記録登録画面	アクター	事務担当者	サービススタッフが作成した実施記録をシステムに登録する	サービススタッフが作成した実施記録を確認・検証してシステムに登録でき、登録状況を管理できる
請求業務	介護費用計算フロー		実施記録の確認	↓	実施記録を確認する	情報	実施記録情報				
請求業務	介護費用計算フロー		実施記録の確認	↓	実施記録を確認する	画面	実施記録確認画面	アクター	事務担当者		実施記録を検索・表示して詳細を確認し、請求対象となる記録を整理できる
請求業務	介護費用計算フロー		介護費用の計算	↓	介護費用を計算する	情報	実施記録情報			実施記録に基づいて月別の介護費用を計算する	
請求業務	介護費用計算フロー		介護費用の計算	↓	介護費用を計算する	情報	費用情報			実施記録に基づいて月別の介護費用を計算する	
請求業務	介護費用計算フロー		介護費用の計算	↓	介護費用を計算する	条件	月別費用計算ルール			実施記録に基づいて月別の介護費用を計算する	
請求業務	介護費用計算フロー		介護費用の計算	↓	介護費用を計算する	画面	介護費用計算画面	アクター	事務担当者	実施記録に基づいて月別の介護費用を計算する	実施記録に基づいて月別の介護費用を計算でき、計算結果を確認・修正・承認できる
請求業務	介護費用計算フロー		介護費用の計算	↓	介護費用を計算する	タイマー	月次			実施記録に基づいて月別の介護費用を計算する	
請求業務	請求フロー		介護費用の請求	↓	介護費用を請求する	情報	費用情報			計算された介護費用を介護会員に請求する	
請求業務	請求フロー		介護費用の請求	↓	介護費用を請求する	情報	介護会員情報			計算された介護費用を介護会員に請求する	
請求業務	請求フロー		介護費用の請求	↓	介護費用を請求する	条件	請求・回収業務管理			計算された介護費用を介護会員に請求する	
請求業務	請求フロー		介護費用の請求	↓	介護費用を請求する	画面	介護費用請求画面	アクター	事務担当者	計算された介護費用を介護会員に請求する	計算された介護費用を確認し、請求内容を検証してから請求を実行でき、請求状況を管理できる
請求業務	請求フロー		介護費用の請求	↓	介護費用を請求する	タイマー	月次			計算された介護費用を介護会員に請求する	
請求業務	回収管理フロー		支払い状況の確認	↓	支払い状況を確認する	情報	費用情報			支払い回収状況を確認し、売上を集計する	
請求業務	回収管理フロー		支払い状況の確認	↓	支払い状況を確認する	情報	請求情報			支払い回収状況を確認し、売上を集計する	
請求業務	回収管理フロー		支払い状況の確認	↓	支払い状況を確認する	条件	請求・回収業務管理			支払い回収状況を確認し、売上を集計する	
請求業務	回収管理フロー		支払い状況の確認	↓	支払い状況を確認する	画面	支払い状況確認画面	アクター	事務担当者	支払い回収状況を確認し、売上を集計する	決済システムとの連携により支払い回収状況を確認でき、売上集計内容を一覧で確認できる
請求業務	回収管理フロー		支払い状況の確認	↓	支払い状況を確認する	イベント	支払い回収状況照会	外部システム	決済システム	支払い回収状況を確認し、売上を集計する	
請求業務	回収管理フロー		支払い状況の確認	↓	支払い状況を確認する	タイマー	月次			支払い回収状況を確認し、売上を集計する	
請求業務	回収管理フロー		売上の把握・管理	↓	売上を把握・管理する	情報	費用情報				
請求業務	回収管理フロー		売上の把握・管理	↓	売上を把握・管理する	画面	売上管理画面	アクター	事業所管理者		集計された売上情報を確認し、事業所別の売上実績を把握・分析でき、経営レポートを作成できる
請求業務	回収管理フロー		支払い滞納時の対応		支払い滞納に対応する	情報	費用情報			支払い滞納が発生した場合、回収活動を実施する	
請求業務	回収管理フロー		支払い滞納時の対応		支払い滞納に対応する	情報	請求情報			支払い滞納が発生した場合、回収活動を実施する	
請求業務	回収管理フロー		支払い滞納時の対応		支払い滞納に対応する	条件	請求・回収業務管理			支払い滞納が発生した場合、回収活動を実施する	
請求業務	回収管理フロー		支払い滞納時の対応		支払い滞納に対応する	画面	支払い滞納対応画面	アクター	事務担当者	支払い滞納が発生した場合、回収活動を実施する	滞納情報を確認し、回収活動を記録・管理でき、滞納解消までの進捗を追跡できる
請求業務	回収管理フロー		支払い滞納時の対応		支払い滞納に対応する	イベント	支払い滞納情報通知	外部システム	決済システム	支払い滞納が発生した場合、回収活動を実施する	
